Date,Season,HomeTeam,AwayTeam,FTHG,FTAG,FDR,PI_1,PI_N,PI_2,B365_1,B365_N,B365_2
27/05/18,2017,Toulouse,Ajaccio,1,0,H,1.53,4.32,7.25,1.5,4.0,7.0
23/05/18,2017,Ajaccio,Toulouse,0,3,A,3.03,2.89,2.8,2.8,3.1,2.6
20/05/18,2017,Ajaccio,Le Havre,3,2,H,2.59,3.09,3.1,2.39,3.2,2.75
19/05/18,2017,Caen,Paris SG,0,0,D,6.4,4.8,1.5,7.0,4.4,1.44
19/05/18,2017,Dijon,Angers,2,1,H,2.21,3.45,3.53,2.1,3.25,3.5
19/05/18,2017,Lyon,Nice,3,2,H,1.53,4.77,6.25,1.5,4.2,6.5
19/05/18,2017,Marseille,Amiens,2,1,H,1.2,7.54,15.36,1.19,6.0,15.0
19/05/18,2017,Metz,Bordeaux,0,4,A,5.63,4.13,1.65,5.25,3.75,1.64
19/05/18,2017,Nantes,Strasbourg,1,0,H,1.91,3.5,4.6,1.83,3.29,4.59
19/05/18,2017,Rennes,Montpellier,1,1,D,2.08,3.32,4.12,2.04,3.2,3.79
19/05/18,2017,St Etienne,Lille,5,0,H,1.65,3.99,5.92,1.61,3.75,5.5
19/05/18,2017,Toulouse,Guingamp,2,1,H,1.58,4.38,6.05,1.53,4.0,6.0
19/05/18,2017,Troyes,Monaco,0,3,A,6.9,4.81,1.47,6.5,4.5,1.44
15/05/18,2017,Le Havre,Brest,2,0,H,2.45,2.96,3.48,2.29,3.1,3.25
12/05/18,2017,Amiens,Metz,2,0,H,2.03,3.68,3.83,2.0,3.29,3.79
12/05/18,2017,Angers,Nantes,0,2,A,2.48,3.42,3.03,2.5,3.2,2.87
12/05/18,2017,Bordeaux,Toulouse,4,2,H,1.85,3.84,4.33,1.8,3.5,4.5
12/05/18,2017,Lille,Dijon,2,1,H,1.59,4.38,5.96,1.66,3.6,5.25
12/05/18,2017,Monaco,St Etienne,1,0,H,1.48,4.67,7.04,1.53,4.33,5.5
12/05/18,2017,Montpellier,Troyes,1,1,D,1.97,3.74,3.99,1.83,3.39,4.5
12/05/18,2017,Nice,Caen,4,1,H,1.72,4.02,5.07,1.72,3.5,5.0
12/05/18,2017,Paris SG,Rennes,0,2,A,1.24,7.25,11.76,1.25,6.0,10.0
12/05/18,2017,Strasbourg,Lyon,3,2,H,8.09,5.32,1.4,6.0,4.75,1.44
11/05/18,2017,Guingamp,Marseille,3,3,D,5.15,4.26,1.68,4.75,3.6,1.72
06/05/18,2017,Marseille,Nice,2,1,H,1.65,4.2,5.59,1.7,3.75,4.75
06/05/18,2017,Caen,Monaco,1,2,A,4.78,3.93,1.78,4.75,3.75,1.7
06/05/18,2017,Dijon,Guingamp,3,1,H,2.41,3.59,3.02,2.1,3.25,3.5
06/05/18,2017,Metz,Angers,1,2,A,2.66,3.35,2.85,2.54,3.1,2.87
06/05/18,2017,Nantes,Montpellier,0,2,A,2.32,3.27,3.41,2.14,3.1,3.6
06/05/18,2017,Rennes,Strasbourg,2,1,H,1.78,3.82,4.98,1.8,3.39,4.75
06/05/18,2017,Toulouse,Lille,2,3,A,2.13,3.38,3.78,2.14,3.2,3.5
06/05/18,2017,Lyon,Troyes,3,0,H,1.17,8.46,17.25,1.12,8.0,19.0
06/05/18,2017,St Etienne,Bordeaux,1,3,A,2.16,3.33,3.74,2.2,3.1,3.5
04/05/18,2017,Amiens,Paris SG,2,2,D,11.68,6.56,1.26,13.0,6.5,1.19
29/04/18,2017,Paris SG,Guingamp,2,2,D,1.1,12.75,23.0,1.08,10.0,26.0
29/04/18,2017,Angers,Marseille,1,1,D,5.06,3.91,1.75,4.75,3.6,1.72
29/04/18,2017,Rennes,Toulouse,2,1,H,1.98,3.51,4.08,1.9,3.39,4.0
28/04/18,2017,Bordeaux,Dijon,3,1,H,1.63,4.01,5.88,1.61,3.79,5.5
28/04/18,2017,Lille,Metz,3,1,H,1.95,3.51,4.2,1.83,3.5,4.33
28/04/18,2017,Monaco,Amiens,0,0,D,1.22,6.57,15.48,1.19,7.0,12.0
28/04/18,2017,Strasbourg,Nice,1,1,D,2.97,3.41,2.47,2.89,3.25,2.39
28/04/18,2017,Troyes,Caen,3,1,H,2.22,3.29,3.58,2.2,3.1,3.5
28/04/18,2017,Lyon,Nantes,2,0,H,1.38,5.16,8.58,1.36,5.0,7.5
27/04/18,2017,Montpellier,St Etienne,0,1,A,2.36,3.26,3.29,2.25,3.1,3.39
25/04/18,2017,Caen,Toulouse,0,0,D,2.48,3.22,3.22,2.62,3.2,2.7
22/04/18,2017,Bordeaux,Paris SG,0,1,A,6.82,4.78,1.5,8.5,5.0,1.33
22/04/18,2017,St Etienne,Troyes,2,1,H,1.5,4.37,7.65,1.53,4.09,6.0
22/04/18,2017,Nice,Montpellier,1,0,H,2.13,3.32,3.93,2.04,3.25,3.75
21/04/18,2017,Amiens,Strasbourg,3,1,H,2.44,3.26,3.23,2.14,3.1,3.6
21/04/18,2017,Guingamp,Monaco,3,1,H,4.02,3.65,1.99,4.0,3.39,1.9
21/04/18,2017,Metz,Caen,1,1,D,2.61,3.32,2.93,2.5,3.1,2.89
21/04/18,2017,Toulouse,Angers,2,0,H,2.21,3.27,3.74,2.14,3.1,3.6
21/04/18,2017,Marseille,Lille,5,1,H,1.34,5.48,10.22,1.36,4.75,8.5
20/04/18,2017,Dijon,Lyon,2,5,A,6.98,4.76,1.49,7.0,4.2,1.44
20/04/18,2017,Nantes,Rennes,1,1,D,2.3,3.29,3.48,2.2,3.1,3.5
15/04/18,2017,Paris SG,Monaco,7,1,H,1.3,6.0,10.95,1.33,5.0,9.0
20/05/18,2017,Ajaccio,Le Havre,3,2,H,2.59,3.09,3.1,2.39,3.2,2.75
15/05/18,2017,Le Havre,Brest,2,0,H,2.45,2.96,3.48,2.29,3.1,3.25
15/04/18,2017,Troyes,Marseille,2,3,A,5.55,4.0,1.68,4.5,3.5,1.8
15/04/18,2017,Montpellier,Bordeaux,1,3,A,2.09,3.27,4.16,2.14,3.29,3.39
14/04/18,2017,Caen,Toulouse,,,D,2.48,3.22,3.22,2.62,3.2,2.7
14/04/18,2017,Lille,Guingamp,2,2,D,2.21,3.29,3.72,2.14,3.39,3.29
14/04/18,2017,Nantes,Dijon,1,1,D,1.68,3.85,5.8,1.75,3.6,4.75
14/04/18,2017,Rennes,Metz,1,2,A,1.48,4.5,7.83,1.57,3.75,6.0
14/04/18,2017,Strasbourg,St Etienne,0,1,A,3.07,3.3,2.52,2.62,3.29,2.62
14/04/18,2017,Lyon,Amiens,3,0,H,1.25,6.39,15.11,1.28,6.0,8.5
13/04/18,2017,Angers,Nice,1,1,D,2.97,3.25,2.63,2.79,3.39,2.39
08/04/18,2017,Marseille,Montpellier,0,0,D,1.51,4.45,7.35,1.53,4.0,6.25
08/04/18,2017,Metz,Lyon,0,5,A,6.28,4.47,1.56,5.5,3.79,1.61
08/04/18,2017,Nice,Rennes,1,1,D,2.03,3.5,4.05,2.0,3.29,3.79
07/04/18,2017,Amiens,Caen,3,0,H,2.36,3.21,3.44,2.29,3.1,3.2
07/04/18,2017,Angers,Strasbourg,1,1,D,1.8,3.66,5.09,1.66,3.5,5.5
07/04/18,2017,Bordeaux,Lille,2,1,H,1.67,3.82,6.09,1.66,3.5,5.5
07/04/18,2017,Guingamp,Troyes,4,0,H,1.88,3.56,4.71,1.8,3.39,4.75
07/04/18,2017,Toulouse,Dijon,0,1,A,2.02,3.48,4.11,2.04,3.2,3.75
07/04/18,2017,Monaco,Nantes,2,1,H,1.51,4.49,7.22,1.44,4.2,7.5
06/04/18,2017,St Etienne,Paris SG,1,1,D,10.56,5.86,1.32,13.0,6.0,1.22
04/04/18,2017,Rennes,Monaco,1,1,D,3.41,3.58,2.18,3.39,3.39,2.1
01/04/18,2017,Lyon,Toulouse,2,0,H,1.41,5.1,8.2,1.33,4.75,10.0
01/04/18,2017,Caen,Montpellier,1,3,A,3.09,3.14,2.61,2.7,3.1,2.7
01/04/18,2017,Lille,Amiens,0,1,A,2.05,3.38,4.14,2.1,3.29,3.5
01/04/18,2017,Nantes,St Etienne,0,3,A,2.13,3.25,4.03,2.0,3.29,3.79
01/04/18,2017,Strasbourg,Metz,2,2,D,2.0,3.6,4.04,2.0,3.5,3.6
01/04/18,2017,Troyes,Nice,0,2,A,3.05,3.36,2.5,3.0,3.2,2.37
01/04/18,2017,Guingamp,Bordeaux,2,1,H,2.92,3.27,2.66,2.7,3.2,2.62
31/03/18,2017,Dijon,Marseille,1,3,A,4.44,3.93,1.83,4.33,3.39,1.85
18/03/18,2017,Marseille,Lyon,2,3,A,2.07,3.63,3.73,2.1,3.29,3.5
18/03/18,2017,St Etienne,Guingamp,2,0,H,1.81,3.55,5.22,1.85,3.25,4.59
18/03/18,2017,Metz,Nantes,1,1,D,3.57,3.17,2.33,3.6,3.0,2.2
18/03/18,2017,Nice,Paris SG,1,2,A,11.57,6.65,1.27,10.0,6.0,1.25
17/03/18,2017,Amiens,Troyes,1,1,D,2.15,3.25,3.96,2.1,3.1,3.75
17/03/18,2017,Angers,Caen,3,0,H,2.05,3.32,4.23,2.04,3.1,4.0
17/03/18,2017,Montpellier,Dijon,2,2,D,1.72,3.75,5.6,1.64,3.5,5.75
17/03/18,2017,Toulouse,Strasbourg,2,2,D,2.11,3.27,4.07,2.0,3.2,4.0
17/03/18,2017,Bordeaux,Rennes,0,2,A,2.04,3.39,4.17,2.04,3.1,4.0
16/03/18,2017,Monaco,Lille,2,1,H,1.29,6.0,11.65,1.3,5.0,10.0
14/03/18,2017,Paris SG,Angers,2,1,H,1.1,13.5,23.5,1.05,13.0,29.0
11/03/18,2017,Toulouse,Marseille,1,2,A,4.36,3.61,1.93,4.33,3.5,1.83
11/03/18,2017,Lyon,Caen,1,0,H,1.43,4.95,8.15,1.44,4.5,6.5
11/03/18,2017,Guingamp,Nice,2,5,A,2.82,3.28,2.73,2.5,3.2,2.87
10/03/18,2017,Bordeaux,Angers,0,0,D,1.79,3.6,5.26,1.75,3.5,4.75
10/03/18,2017,Dijon,Amiens,1,1,D,1.83,3.59,4.97,1.85,3.29,4.5
10/03/18,2017,Lille,Montpellier,1,1,D,2.9,3.14,2.76,2.7,3.1,2.7
10/03/18,2017,Nantes,Troyes,1,0,H,1.65,3.79,6.45,1.64,3.39,6.0
10/03/18,2017,Rennes,St Etienne,1,1,D,2.36,3.3,3.35,2.14,3.2,3.5
10/03/18,2017,Paris SG,Metz,5,0,H,1.08,16.0,23.0,1.04,15.0,34.0
09/03/18,2017,Strasbourg,Monaco,1,3,A,4.95,4.04,1.74,5.0,3.75,1.66
04/03/18,2017,Marseille,Nantes,1,1,D,1.54,4.36,6.83,1.44,4.2,7.5
04/03/18,2017,Montpellier,Lyon,1,1,D,3.29,3.38,2.35,3.25,3.2,2.25
04/03/18,2017,Caen,Strasbourg,2,0,H,2.17,3.33,3.78,2.1,3.1,3.75
03/03/18,2017,Amiens,Rennes,0,2,A,3.09,3.1,2.64,2.87,3.0,2.6
03/03/18,2017,Angers,Guingamp,3,0,H,2.2,3.27,3.77,2.2,3.1,3.5
03/03/18,2017,Metz,Toulouse,1,1,D,2.8,3.15,2.85,2.87,3.0,2.6
03/03/18,2017,St Etienne,Dijon,2,2,D,1.88,3.57,4.7,1.85,3.39,4.33
03/03/18,2017,Troyes,Paris SG,0,2,A,14.33,6.86,1.24,17.0,7.5,1.14
02/03/18,2017,Monaco,Bordeaux,2,1,H,1.59,4.39,5.95,1.53,4.0,6.0
02/03/18,2017,Nice,Lille,2,1,H,1.81,3.54,5.22,1.72,3.39,5.25
25/02/18,2017,Paris SG,Marseille,3,0,H,1.29,6.68,10.25,1.3,5.5,9.0
25/02/18,2017,Lyon,St Etienne,1,1,D,1.53,4.67,6.32,1.57,4.2,5.25
25/02/18,2017,Bordeaux,Nice,0,0,D,2.14,3.37,3.83,2.25,3.25,3.2
24/02/18,2017,Dijon,Caen,2,0,H,2.27,3.31,3.54,2.2,3.25,3.29
24/02/18,2017,Guingamp,Metz,2,2,D,1.91,3.54,4.56,1.83,3.5,4.33
24/02/18,2017,Lille,Angers,1,2,A,2.27,3.23,3.64,2.25,3.2,3.29
24/02/18,2017,Nantes,Amiens,0,1,A,1.69,3.79,5.86,1.75,3.5,4.75
24/02/18,2017,Rennes,Troyes,2,0,H,1.7,3.79,5.72,1.72,3.6,4.75
24/02/18,2017,Toulouse,Monaco,3,3,D,4.37,3.63,1.92,4.75,3.6,1.75
23/02/18,2017,Strasbourg,Montpellier,0,0,D,2.89,3.14,2.77,2.5,3.1,2.89
20/02/18,2017,Troyes,Dijon,0,0,D,2.6,3.35,2.93,2.29,3.1,3.29
18/02/18,2017,Marseille,Bordeaux,1,0,H,1.65,4.22,5.45,1.53,4.2,5.75
18/02/18,2017,Lille,Lyon,2,2,D,4.24,3.7,1.93,4.33,3.5,1.85
18/02/18,2017,Nice,Nantes,1,1,D,2.24,3.35,3.57,2.14,3.1,3.6
17/02/18,2017,Amiens,Toulouse,0,0,D,2.63,3.2,3.01,2.37,3.0,3.2
17/02/18,2017,Angers,St Etienne,0,1,A,2.48,3.31,3.13,2.25,3.25,3.25
17/02/18,2017,Caen,Rennes,2,2,D,2.53,3.36,3.01,2.25,3.29,3.2
17/02/18,2017,Montpellier,Guingamp,1,1,D,1.79,3.57,5.33,1.75,3.29,5.25
17/02/18,2017,Troyes,Metz,1,0,H,2.19,3.44,3.6,2.35,3.1,3.2
17/02/18,2017,Paris SG,Strasbourg,5,2,H,1.07,15.5,31.0,1.06,11.0,29.0
16/02/18,2017,Monaco,Dijon,4,0,H,1.38,5.48,8.61,1.33,5.0,9.0
11/02/18,2017,Lyon,Rennes,0,2,A,1.51,4.63,6.75,1.6,3.79,6.0
11/02/18,2017,Nantes,Lille,2,2,D,1.83,3.44,5.29,2.0,3.25,4.0
11/02/18,2017,Strasbourg,Troyes,2,1,H,1.97,3.54,4.25,2.04,3.29,3.79
10/02/18,2017,Angers,Monaco,0,4,A,3.45,3.56,2.2,3.6,3.5,2.04
10/02/18,2017,Bordeaux,Amiens,3,2,H,1.47,4.41,8.33,1.7,3.6,5.25
10/02/18,2017,Dijon,Nice,3,2,H,2.73,3.5,2.68,2.54,3.29,2.79
10/02/18,2017,Guingamp,Caen,0,0,D,2.34,3.3,3.39,2.29,3.25,3.2
10/02/18,2017,Metz,Montpellier,0,1,A,3.36,3.25,2.38,3.0,3.2,2.45
10/02/18,2017,Toulouse,Paris SG,0,1,A,19.09,7.6,1.19,17.0,7.0,1.16
09/02/18,2017,St Etienne,Marseille,2,2,D,4.02,3.75,1.96,3.75,3.2,2.1
04/02/18,2017,Monaco,Lyon,3,2,H,2.56,3.57,2.82,2.35,3.29,3.0
04/02/18,2017,Caen,Nantes,3,2,H,2.92,3.13,2.75,2.75,3.0,2.7
04/02/18,2017,Rennes,Guingamp,0,1,A,2.07,3.45,3.97,2.14,3.2,3.5
03/02/18,2017,Amiens,St Etienne,0,2,A,2.63,3.16,3.05,2.35,3.25,3.0
03/02/18,2017,Montpellier,Angers,2,1,H,1.94,3.29,4.83,1.9,3.1,4.5
03/02/18,2017,Nice,Toulouse,0,1,A,1.83,3.64,4.91,1.75,3.5,4.75
03/02/18,2017,Strasbourg,Bordeaux,0,2,A,2.95,3.26,2.64,2.75,3.0,2.75
03/02/18,2017,Lille,Paris SG,0,3,A,20.0,8.45,1.17,13.0,5.75,1.22
02/02/18,2017,Marseille,Metz,6,3,H,1.27,6.55,11.5,1.25,5.5,12.0
28/01/18,2017,Marseille,Monaco,2,2,D,2.09,3.7,3.62,2.0,3.5,3.6
28/01/18,2017,Bordeaux,Lyon,3,1,H,3.64,3.53,2.14,3.29,3.39,2.14
28/01/18,2017,Lille,Strasbourg,2,1,H,2.14,3.34,3.88,2.04,3.29,3.6
27/01/18,2017,Angers,Amiens,1,0,H,1.86,3.41,5.16,1.8,3.25,5.0
27/01/18,2017,Guingamp,Nantes,0,3,A,2.39,3.16,3.46,2.25,3.1,3.39
27/01/18,2017,Metz,Nice,2,1,H,3.39,3.45,2.27,3.25,3.39,2.14
27/01/18,2017,St Etienne,Caen,2,1,H,2.19,3.24,3.84,2.0,3.29,3.75
27/01/18,2017,Toulouse,Troyes,1,0,H,1.96,3.31,4.69,1.95,3.2,4.2
27/01/18,2017,Paris SG,Montpellier,4,0,H,1.18,8.3,18.0,1.12,8.5,17.0
26/01/18,2017,Dijon,Rennes,2,1,H,2.5,3.42,3.01,2.37,3.29,2.89
21/01/18,2017,Lyon,Paris SG,2,1,H,7.13,5.05,1.43,9.0,5.0,1.33
21/01/18,2017,Monaco,Metz,3,1,H,1.24,6.8,12.5,1.14,8.0,15.0
21/01/18,2017,Nice,St Etienne,1,0,H,1.82,3.64,4.75,1.83,3.29,4.59
20/01/18,2017,Amiens,Guingamp,3,1,H,2.8,3.25,2.7,2.45,3.1,3.0
20/01/18,2017,Montpellier,Toulouse,2,1,H,1.73,3.5,5.83,1.72,3.29,5.5
20/01/18,2017,Rennes,Angers,1,0,H,2.1,3.26,3.96,2.04,3.1,4.0
20/01/18,2017,Strasbourg,Dijon,3,2,H,2.1,3.44,3.72,2.04,3.2,3.75
20/01/18,2017,Troyes,Lille,1,0,H,2.9,3.16,2.67,2.87,3.0,2.6
20/01/18,2017,Nantes,Bordeaux,0,1,A,2.08,3.27,4.03,2.0,3.1,4.2
19/01/18,2017,Caen,Marseille,0,2,A,4.22,3.67,1.9,4.33,3.5,1.83
17/01/18,2017,Paris SG,Dijon,8,0,H,1.11,12.6,20.78,1.07,12.0,21.0
17/01/18,2017,Amiens,Montpellier,1,1,D,3.6,3.09,2.36,2.39,3.0,3.2
17/01/18,2017,Angers,Troyes,3,1,H,1.79,3.6,5.27,1.72,3.5,5.0
17/01/18,2017,Guingamp,Lyon,0,2,A,3.21,3.58,2.3,3.75,3.39,2.0
17/01/18,2017,Lille,Rennes,1,2,A,2.27,3.09,3.84,2.5,3.1,2.89
17/01/18,2017,Metz,St Etienne,3,0,H,2.73,3.24,2.86,3.39,3.39,2.1
17/01/18,2017,Toulouse,Nantes,1,1,D,2.74,3.04,3.02,2.5,3.0,3.0
16/01/18,2017,Monaco,Nice,2,2,D,1.72,4.24,4.83,1.72,3.6,4.75
16/01/18,2017,Bordeaux,Caen,0,2,A,1.87,3.39,5.14,1.9,3.25,4.33
16/01/18,2017,Marseille,Strasbourg,2,0,H,1.28,6.41,11.19,1.33,5.0,9.0
14/01/18,2017,Nantes,Paris SG,0,1,A,16.39,7.15,1.21,13.0,7.0,1.18
14/01/18,2017,Lyon,Angers,1,1,D,1.47,4.66,7.73,1.44,4.5,6.5
14/01/18,2017,St Etienne,Toulouse,2,0,H,2.2,3.15,3.95,2.04,3.0,4.09
13/01/18,2017,Caen,Lille,0,1,A,2.56,2.92,3.42,2.45,2.89,3.2
13/01/18,2017,Dijon,Metz,1,1,D,1.62,4.05,6.2,1.6,3.75,5.75
13/01/18,2017,Montpellier,Monaco,0,0,D,4.71,3.8,1.82,5.0,3.5,1.72
13/01/18,2017,Nice,Amiens,1,0,H,1.86,3.45,5.04,1.8,3.39,4.75
13/01/18,2017,Troyes,Bordeaux,0,1,A,3.21,3.21,2.49,3.0,3.2,2.37
13/01/18,2017,Rennes,Marseille,0,3,A,3.34,3.35,2.34,3.25,3.1,2.29
12/01/18,2017,Strasbourg,Guingamp,0,2,A,2.27,3.24,3.62,2.14,3.1,3.6
20/12/17,2017,Amiens,Nantes,0,1,A,2.82,3.13,2.85,2.75,3.1,2.75
20/12/17,2017,Angers,Dijon,2,1,H,2.27,3.35,3.51,2.1,3.29,3.6
20/12/17,2017,Bordeaux,Montpellier,0,2,A,1.94,3.46,4.53,1.83,3.5,4.5
20/12/17,2017,Guingamp,St Etienne,2,1,H,2.0,3.17,4.76,2.14,3.2,3.7
20/12/17,2017,Lille,Nice,1,1,D,2.78,3.28,2.78,2.7,3.2,2.75
20/12/17,2017,Marseille,Troyes,3,1,H,1.31,5.93,10.79,1.33,5.25,9.0
20/12/17,2017,Metz,Strasbourg,3,0,H,3.01,3.31,2.56,3.0,3.29,2.39
20/12/17,2017,Monaco,Rennes,2,1,H,1.42,5.32,7.64,1.39,4.75,8.0
20/12/17,2017,Paris SG,Caen,3,1,H,1.08,14.5,37.0,1.08,11.0,26.0
20/12/17,2017,Toulouse,Lyon,1,2,A,4.32,3.98,1.84,4.33,3.75,1.8
17/12/17,2017,Lyon,Marseille,2,0,H,1.86,3.87,4.35,1.83,3.6,4.2
17/12/17,2017,Nice,Bordeaux,1,0,H,2.24,3.36,3.55,2.1,3.2,3.6
17/12/17,2017,Nantes,Angers,1,0,H,2.01,3.36,4.35,1.95,3.2,4.2
16/12/17,2017,Caen,Guingamp,0,0,D,1.96,3.46,4.43,1.85,3.29,4.5
16/12/17,2017,Dijon,Lille,3,0,H,2.29,3.34,3.46,2.14,3.1,3.6
16/12/17,2017,Montpellier,Metz,1,3,A,1.45,4.43,8.97,1.44,4.09,7.5
16/12/17,2017,Strasbourg,Toulouse,2,1,H,2.11,3.34,3.96,2.04,3.2,3.75
16/12/17,2017,Troyes,Amiens,1,0,H,2.5,3.23,3.16,2.37,3.1,3.1
16/12/17,2017,Rennes,Paris SG,1,4,A,12.4,6.75,1.26,11.0,5.75,1.25
15/12/17,2017,St Etienne,Monaco,0,4,A,3.72,3.51,2.12,4.0,3.29,1.95
10/12/17,2017,Marseille,St Etienne,3,0,H,1.56,4.44,6.32,1.53,4.09,6.0
10/12/17,2017,Nantes,Nice,1,2,A,2.51,3.16,3.22,2.37,3.0,3.2
10/12/17,2017,Amiens,Lyon,1,2,A,6.04,4.4,1.58,5.75,4.09,1.55
09/12/17,2017,Angers,Montpellier,1,1,D,2.49,3.27,3.14,2.45,3.1,3.0
09/12/17,2017,Guingamp,Dijon,4,0,H,2.11,3.47,3.79,2.0,3.29,3.75
09/12/17,2017,Metz,Rennes,1,1,D,3.27,3.18,2.47,3.1,3.0,2.45
09/12/17,2017,Monaco,Troyes,3,2,H,1.31,5.75,11.29,1.28,5.25,10.0
09/12/17,2017,Toulouse,Caen,2,0,H,2.12,3.3,3.99,2.04,3.1,4.0
09/12/17,2017,Paris SG,Lille,3,1,H,1.14,10.75,19.0,1.14,8.0,15.0
08/12/17,2017,Bordeaux,Strasbourg,0,3,A,1.7,3.94,5.45,1.64,3.75,5.25
03/12/17,2017,Montpellier,Marseille,1,1,D,3.74,3.44,2.14,4.0,3.29,1.95
03/12/17,2017,Caen,Lyon,1,2,A,4.42,3.8,1.87,4.5,3.39,1.83
03/12/17,2017,St Etienne,Nantes,1,1,D,2.36,2.94,3.84,2.2,3.0,3.6
02/12/17,2017,Lille,Toulouse,1,0,H,2.01,3.42,4.26,2.04,3.25,3.75
02/12/17,2017,Monaco,Angers,1,0,H,1.38,5.66,8.13,1.33,5.0,8.5
02/12/17,2017,Nice,Metz,3,1,H,1.51,4.48,7.24,1.44,4.09,7.5
02/12/17,2017,Rennes,Amiens,2,0,H,2.02,3.04,4.97,2.0,3.1,4.2
02/12/17,2017,Troyes,Guingamp,0,1,A,2.67,3.36,2.83,2.6,3.1,2.79
02/12/17,2017,Strasbourg,Paris SG,2,1,H,14.95,8.2,1.2,15.0,6.5,1.18
01/12/17,2017,Dijon,Bordeaux,3,2,H,3.29,3.32,2.38,3.2,3.1,2.29
29/11/17,2017,Paris SG,Troyes,2,0,H,1.03,25.87,61.01,1.02,17.0,37.0
29/11/17,2017,Angers,Rennes,1,2,A,2.19,3.26,3.84,2.1,3.1,3.75
29/11/17,2017,Guingamp,Montpellier,0,0,D,2.53,3.2,3.16,2.14,3.2,3.5
29/11/17,2017,Lyon,Lille,1,2,A,1.32,6.24,9.5,1.33,5.0,8.5
29/11/17,2017,Metz,Marseille,0,3,A,6.69,4.71,1.51,6.5,4.5,1.44
29/11/17,2017,Nantes,Monaco,1,0,H,3.94,3.57,2.04,4.2,3.5,1.85
29/11/17,2017,Toulouse,Nice,1,2,A,2.76,3.04,3.0,2.5,3.0,3.0
28/11/17,2017,Bordeaux,St Etienne,3,0,H,1.83,3.55,5.05,1.75,3.5,4.75
28/11/17,2017,Amiens,Dijon,2,1,H,2.43,3.22,3.3,2.25,3.1,3.39
28/11/17,2017,Strasbourg,Caen,0,0,D,2.14,3.4,3.8,2.04,3.25,3.75
26/11/17,2017,Monaco,Paris SG,1,2,A,4.8,4.7,1.65,4.75,4.33,1.61
26/11/17,2017,Marseille,Guingamp,1,0,H,1.56,4.35,6.39,1.5,4.33,6.0
26/11/17,2017,Nice,Lyon,0,5,A,3.24,3.75,2.22,3.39,3.39,2.1
25/11/17,2017,Caen,Bordeaux,1,0,H,3.41,3.34,2.31,3.5,3.2,2.14
25/11/17,2017,Dijon,Toulouse,3,1,H,2.34,3.26,3.43,2.25,3.2,3.25
25/11/17,2017,Metz,Amiens,0,2,A,2.43,3.19,3.33,2.29,3.2,3.1
25/11/17,2017,Montpellier,Lille,3,0,H,2.29,3.2,3.62,2.14,3.2,3.5
25/11/17,2017,Troyes,Angers,3,0,H,3.19,3.37,2.41,3.0,3.2,2.37
25/11/17,2017,Rennes,Nantes,2,1,H,2.5,3.1,3.3,2.39,3.1,3.1
24/11/17,2017,St Etienne,Strasbourg,2,2,D,1.94,3.47,4.5,1.8,3.5,4.5
20/11/17,2017,Amiens,Lille,3,0,H,2.69,3.29,2.86,2.88,3.2,2.5
19/11/17,2017,Bordeaux,Marseille,1,1,D,2.29,3.62,3.2,2.14,3.29,3.39
19/11/17,2017,Lyon,Montpellier,0,0,D,1.4,5.09,8.75,1.36,4.75,8.5
19/11/17,2017,Caen,Nice,1,1,D,2.64,3.27,2.94,2.75,3.1,2.62
18/11/17,2017,Dijon,Troyes,3,1,H,1.87,3.72,4.52,1.8,3.5,4.5
18/11/17,2017,Guingamp,Angers,1,1,D,2.23,3.38,3.56,2.25,3.1,3.39
19/11/17,2017,Strasbourg,Rennes,2,1,H,2.47,3.39,3.07,2.62,3.1,2.75
18/11/17,2017,Toulouse,Metz,0,0,D,1.68,3.91,5.68,1.64,3.5,5.75
18/11/17,2017,Paris SG,Nantes,4,1,H,1.12,11.5,22.87,1.1,9.0,21.0
17/11/17,2017,Amiens,Monaco,1,1,D,5.83,4.12,1.64,5.5,3.75,1.61
17/11/17,2017,Lille,St Etienne,3,1,H,2.51,3.28,3.11,2.37,3.1,3.1
05/11/17,2017,St Etienne,Lyon,0,5,A,3.87,3.85,1.97,3.5,3.25,2.1
05/11/17,2017,Marseille,Caen,5,0,H,1.47,4.73,7.56,1.44,4.2,7.5
05/11/17,2017,Metz,Lille,0,3,A,3.41,3.3,2.33,3.1,3.1,2.39
05/11/17,2017,Nice,Dijon,1,0,H,1.7,4.04,5.24,1.66,3.6,5.5
04/11/17,2017,Monaco,Guingamp,6,0,H,1.4,5.3,8.0,1.33,5.5,7.5
04/11/17,2017,Montpellier,Amiens,1,1,D,1.79,3.38,5.82,1.75,3.25,5.5
04/11/17,2017,Nantes,Toulouse,2,1,H,1.98,3.21,4.79,1.95,3.29,4.0
04/11/17,2017,Troyes,Strasbourg,3,0,H,2.7,3.33,2.82,2.5,3.1,2.89
04/11/17,2017,Angers,Paris SG,0,5,A,16.5,8.05,1.19,19.0,7.5,1.14
03/11/17,2017,Rennes,Bordeaux,1,0,H,3.13,3.19,2.55,3.0,3.0,2.5
29/10/17,2017,Lille,Marseille,0,1,A,3.39,3.6,2.21,3.25,3.39,2.14
29/10/17,2017,Toulouse,St Etienne,0,0,D,2.42,3.16,3.38,2.37,3.1,3.1
29/10/17,2017,Lyon,Metz,2,0,H,1.21,8.05,12.9,1.22,6.0,13.0
28/10/17,2017,Caen,Troyes,1,0,H,1.77,3.66,5.35,1.8,3.5,4.5
